name: Trajectory 2
type: 3D
x: North | m
y: East  | m
z: Altitude | m
coords:
0.900   -> 21.707006101123334 -0.014627982176926775 1999.6567602426915
0.905   -> 21.82230108069369 -0.014854884710220284 1999.6531022924155
0.910   -> 21.93756585308582 -0.01508153862905696 1999.6492827467164
0.915   -> 22.052800734960485 -0.01530791381598576 1999.645299569408
0.920   -> 22.168006023789182 -0.015533981158766462 1999.641150797863
0.925   -> 22.283181998614978 -0.015759712569551325 1999.6368345434719
0.930   -> 22.398328920832824 -0.015985081003783045 1999.6323489920337
0.935   -> 22.513447034986307 -0.016210060478803707 1999.627692404076
0.940   -> 22.628536569577847 -0.01643462609217019 1999.622863115106
0.945   -> 22.743597737889427 -0.016658754039672423 1999.6178595357965
0.950   -> 22.85863073881104 -0.016882421633051828 1999.6126801521057
0.955   -> 22.973635757674085 -0.017105607317418087 1999.6073235253343
0.960   -> 23.08861296708712 -0.017328290688363404 1999.6017882921208
0.965   -> 23.2035625277714 -0.017550452508774215 1999.596073164376
0.970   -> 23.318484589393815 -0.017772074725341175 1999.5901769291622
0.975   -> 23.433379291394857 -0.01799314048476917 1999.5840984485137
0.980   -> 23.548246763809466 -0.01821363414968975 1999.5778366592049
0.985   -> 23.66308712807866 -0.018433541314279253 1999.5713905724665
0.990   -> 23.777900497849974 -0.018652848819586537 1999.564759273652
0.995   -> 23.89268697976485 -0.018871544768574805 1999.5579419218568
1.000   -> 24.00744667423131 -0.019089618540882744 1999.5509377494907
1.005   -> 24.122179676180252 -0.019307060807310518 1999.5437460618093
1.010   -> 24.23688607580389 -0.01952386354403675 1999.5363662364027
1.015   -> 24.351565959275035 -0.01974002004657285 1999.5287977226458
1.020   -> 24.466219409445863 -0.019955524943461485 1999.5210400411117
1.025   -> 24.58084650652514 -0.02017037420972602 1999.5130927829518
1.030   -> 24.695447328732833 -0.020384565180078033 1999.504955609241
1.035   -> 24.810021952931166 -0.02059809656188996 1999.4966282502946
1.040   -> 24.924570455231397 -0.02081096844793994 1999.4881105049562
1.045   -> 25.039092911575533 -0.02102318232893576 1999.4794022398587
1.050   -> 25.153589398292436 -0.02123474110582463 1999.4705033886619
1.055   -> 25.268059992627755 -0.021445649101895312 1999.4614139512669
1.060   -> 25.382504773247348 -0.021655912074678534 1999.4521339930097
1.065   -> 25.496923820713786 -0.021865537227651496 1999.442663643837
1.070   -> 25.611317217935728 -0.022074533221751517 1999.4330030974636
1.075   -> 25.725685050590013 -0.022282910186703354 1999.4231526105148
1.080   -> 25.84002740751634 -0.02249067973216414 1999.4131125016552
